,Homo_sapiens,Macaca_mulatta,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Carlito_syrichta,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mus_musculus,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rattus_norvegicus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sarcophilus_harrisii,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
CHRM5,NM_012125.3,NM_001032931.1,XM_002925206.2,XM_012465438.1,NM_001244611.1,XM_002753583.3,XM_010981166.1,XM_005638190.2,XM_018053801.1,XM_008053529.1,NM_001173112.1,xm_004421372.1,XM_012091990.1,XM_005381165.2,XM_008017152.1,XM_006831811.1,XM_004687951.2,XM_007617240.1,XM_004455350.1,XM_013014364.1,XM_004712675.1,XM_006883057.1,XM_008142956.1,NM_001257079.1,XM_007521681.1,XM_003987304.3,xm_008565457.1,XM_004055908.1,XM_004861496.1,XM_005337168.1,XM_004669714.1,XM_003418635.2,XM_015452598.1,XM_011710857.1,XM_011989110.1,XM_017660812.1,XM_013121047.1,XM_012742862.1,XM_005364228.1,XM_016199532.1,XM_001370396.3,XM_006499099.3,XM_004751024.2,XM_008841149.2,XM_003272782.2,XM_004578208.1,XM_004643126.1,XM_004414390.2,XM_004274039.2,XM_017348159.1,XM_003791682.1,XM_012181142.2,XM_003804954.2,XM_016927897.1,XM_017960493.1,XM_002825253.2,XM_012649510.1,XM_011354861.1,NM_017362.4,XM_010386320.1,XM_016160798.1,XM_010346194.1,XM_003775237.2,XM_004609539.1,XM_013997263.1,xm_004380592.2,XM_006140553.2,XM_004310934.1
CNR1,NM_016083.4,NM_001032825.1,XM_002925513.2,XM_012444292.1,NM_001242341.1,XM_003732707.3,XM_010987707.1,XM_005627618.2,XM_018053156.1,XM_008064040.1,XM_005002616.2,xm_014781105.1,XM_012067046.1,XM_005377738.1,XM_008006566.1,XM_006870623.1,XM_004673680.2,XM_007641027.1,XM_004454504.2,XM_013032853.1,XM_004696253.2,XM_006902344.1,XM_008147682.1,XM_005596792.2,XM_007536004.2,XM_011282446.1,XM_008583958.1,XM_004044392.1,XM_004860224.2,XM_005324720.1,XM_004667304.1,XM_010586310.1,XM_005552387.2,XM_011766660.1,XM_011984446.1,XM_017670099.1,XM_005080833.2,XM_012750964.1,XM_005361961.2,XM_016208118.1,XM_007484309.2,NM_007726.3,XM_004766923.1,XM_008831841.1,XM_004087619.1,XM_004580395.2,XM_004628222.1,XM_004417496.2,XM_012539537.1,XM_008263198.2,XM_003797512.2,XM_004011281.2,XM_008976475.1,XM_009451529.2,XM_009205643.2,XM_009242074.1,XM_012638196.1,XM_011367372.1,XM_006237984.3,XM_010362193.1,XM_016140626.1,XM_010333801.1,XM_003769275.1,XM_004605656.1,XM_013992672.1,xm_004388990.2,XM_006164360.2,XM_004315268.1
CNR2,NM_001841.2,XM_001105018.3,XM_011228458.1,XM_012439873.1,NM_001192303.1,XM_009000630.2,XM_010989813.1,XM_005617811.2,XM_005676856.2,XM_008062153.1,XM_013154100.1,xm_014783982.1,XM_012080159.1,XM_005394787.2,XM_007980052.1,XM_006862302.1,XM_004679379.1,XM_003504924.3,XM_004465402.2,XM_013034917.1,XM_004705357.1,XM_006883659.1,XM_008148093.1,XM_005607011.2,XM_007522595.1,XM_006934403.2,XM_008573088.1,XM_004024898.1,XM_004850577.1,XM_005343004.2,XM_004657324.1,XM_003415240.2,XM_005544452.2,XM_011762840.1,XM_011977841.1,XM_017672324.1,XM_005079615.2,XM_012750607.1,XM_005353034.1,XM_016214570.1,XM_001362407.2,NM_001305278.1,XM_004741187.2,XM_008848605.1,XM_003271607.2,XM_004592377.1,XM_012516098.1,XM_004394796.2,XM_004285660.1,XM_002716022.3,XM_003799759.2,XM_015093686.1,XM_008963130.1,XM_001166334.4,XM_009201721.2,XM_009233801.1,XM_012650884.1,XM_011357596.1,NM_001164142.3,XM_010355752.1,XM_016126793.1,XM_003934868.2,XM_003764881.2,XM_004622743.2,XM_005656050.2,xm_004377122.2,XM_006159469.2,XM_004327020.1
DRD2,NM_000795.3,XM_001085571.3,XM_002928410.2,XM_012470637.1,XM_015474608.1,XM_002754421.3,XM_010983293.1,XM_005619479.2,XM_018059765.1,XM_008073425.1,XM_003472821.3,xm_004427316.1,XM_012066329.1,XM_005378146.2,XM_008020911.1,XM_006833833.1,XM_012729932.1,XM_003498542.1,XM_004481174.1,XM_013009616.1,XM_004712816.1,XM_006890788.1,XM_008150181.1,XM_005611574.2,XM_007535976.2,XM_003992361.3,XM_008591438.1,XM_004052152.1,XM_004856608.1,XM_005334208.1,XM_004666464.1,XM_003418229.2,XM_005579675.1,XM_011761337.1,XM_011977022.1,XM_017679399.1,XM_005069495.2,XM_012753312.1,XM_013346111.1,XM_016205335.1,XM_007494790.2,NM_010077.2,XM_004749851.1,XM_008832752.2,XM_003253162.3,XM_004585078.1,XM_004646372.1,XM_004416368.2,XM_004273390.1,XM_008261225.1,XM_012808149.1,XM_004016032.3,XM_008971728.1,XM_016919830.1,XM_003910718.2,XM_009247074.1,XM_012659160.1,XM_011365426.1,NM_012547.1,XM_010382376.1,XM_016148990.1,XM_003923693.2,XM_003764217.2,XM_004604701.1,NM_001244253.1,xm_004382515.1,XM_006151031.1,XM_004320739.1
DRD3,NM_000796.5,NM_001289897.1,XM_011230188.1,XM_012463902.1,XM_005201335.3,XM_008982425.1,XM_010985034.1,XM_014110148.1,XM_005674943.3,XM_008065859.1,XM_013151709.1,xm_004436563.1,XM_012083154.1,XM_013515044.1,XM_007985759.1,XM_006864169.1,XM_004675204.1,XM_016968082.1,XM_012518427.1,XM_013028530.1,XM_004706411.1,XM_006884272.1,XM_008146614.1,XM_001917412.3,XM_007516313.2,XM_006936058.1,XM_008580163.1,XM_004036093.1,XM_004835691.1,XM_005327606.1,XM_004666858.2,XM_003412984.1,XM_005548104.2,XM_011722278.1,XM_011966819.1,XM_017652404.1,XM_005074742.2,XM_012787562.1,XM_005345116.1,XM_016200145.1,XM_001368407.3,XM_006521777.2,XM_004761411.2,XM_008842863.1,XM_003261833.1,XM_004577891.1,XM_004633311.1,XM_004414812.1,XM_004272040.1,XM_002716685.3,XM_003797706.1,XM_004002934.3,XM_003825120.2,XM_009445989.2,XM_003893946.3,XM_002813271.1,XM_012652233.1,XM_011376998.1,XM_006248313.3,XM_010361005.1,XM_016150662.1,XM_003935438.2,XM_003763597.1,XM_004606710.1,XM_013982425.1,xm_004373669.2,XM_014592983.1,XM_004317502.1
DRD4,NM_000797.3,XM_001087197.2,XM_011237539.1,XM_012456021.1,XM_015470121.1,XM_009008787.1,XM_010999243.1,,XM_018043036.1,XM_008050677.1,XM_003461283.3,xm_014795733.1,XM_012040988.1,XM_013502972.1,XM_007990850.1,,xm_012729932.1,XM_003509758.3,xm_004481173.2,xm_013009617.1,XM_004717196.1,XM_006893346.1,XM_008159613.1,XM_005598487.1,XM_007536571.2,,xm_008591439.1,XM_004050370.1,XM_013074630.1,XM_005341650.1,XM_004654168.1,XM_003423233.1,XM_005576764.2,XM_011762291.1,XM_011993826.1,xm_017652404.1,XM_005064212.2,XM_012769500.1,XM_005351511.1,XM_016219605.1,XM_016427443.1,NM_007878.2,NM_001310167.1,XM_017803543.1,XM_003281326.3,XM_012930968.1,XM_004638040.1,XM_004403768.1,XM_004278149.1,xm_008261218.2,XM_003802777.1,xm_004016032.3,XM_008977849.1,XM_016920015.1,XM_003909328.2,XM_002821327.2,XM_012651936.1,,XM_006230521.2,XM_010355901.1,XM_016138195.1,XM_010331184.1,xm_012552332.1,XM_004603126.1,XM_003122390.2,xm_004389411.1,xm_006151032.1,XM_004319130.1
DRD5,NM_000798.4,XM_001097117.3,XM_011229965.1,XM_012466993.1,NM_001206629.1,XM_002745992.3,XM_010975357.1,XM_005618578.1,XM_005681898.2,XM_008061093.1,XM_003464368.1,xm_004432348.2,XM_012045471.1,XM_005408842.1,XM_008017903.1,xm_006864794.1,,XM_007626006.1,XM_004468905.1,XM_013023905.1,XM_004715080.1,,XM_008150879.1,XM_005614781.2,xm_007521948.1,XM_003985519.3,XM_008571486.1,XM_004038436.1,XM_004847511.1,XM_005319077.1,xm_004665021.1,XM_003411269.2,XM_005554477.2,XM_011714502.1,XM_011987817.1,XM_017640904.1,XM_005068824.2,xm_012781544.1,XM_005365966.1,XM_016203704.1,XM_001371240.2,NM_013503.3,XM_004770551.1,XM_008833111.1,XM_012499761.1,XM_012931415.1,XM_004624567.1,XM_004415889.2,XM_004286766.2,XM_008274145.2,XM_003800208.2,XM_015096298.1,XM_003826782.2,XM_528711.5,XM_003898477.2,XM_002814584.2,xm_012662836.1,XM_011374674.1,NM_012768.1,XM_010357591.1,xm_016137148.1,XM_003934678.2,XM_012552332.1,XM_004617490.1,XM_013989284.1,xm_004385912.2,XM_014581979.1,xm_004324997.1
GABBR1,NM_001470.3,XM_015135646.1,XM_011216953.1,XM_012477455.1,NM_001163275.1,XM_008994084.1,XM_010994244.1,XM_014110547.1,XM_018038810.1,XM_008074510.1,XM_003461152.3,xm_004441705.2,XM_012092443.1,XM_005414288.2,XM_007973305.1,XM_006875654.1,XM_004694750.2,XM_003507407.3,XM_012521501.1,XM_013031270.1,XM_013008485.1,XM_006896236.1,xm_008157395.1,XM_014734571.1,XM_007532279.2,XM_011282040.1,XM_008588868.1,XM_004043532.1,XM_004847125.2,XM_013364548.1,XM_004671922.2,XM_010601201.1,XM_005553691.2,XM_011758086.1,XM_011992250.1,XM_017657454.1,XM_005087199.2,XM_012760362.1,XM_013351253.1,XM_016222633.1,XM_016430927.1,NM_019439.3,XM_004781852.1,XM_008850452.2,XM_012503251.1,XM_004598373.2,XM_004648407.1,XM_004412205.1,XM_004286083.1,XM_002714338.3,XM_003788957.2,XM_015102608.1,XM_003829721.2,XM_016955120.1,XM_017957725.1,NM_001132517.1,XM_012660117.1,XM_011384012.1,NM_031028.3,XM_010381644.1,XM_016120689.1,XM_003944966.2,XM_012548855.1,XM_004619615.1,XM_005665701.2,xm_004387102.1,XM_006172374.2,XM_004311124.1
GABBR2,NM_005458.7,XM_015117226.1,XM_011219329.1,XM_012475766.1,XM_002689734.3,XM_017977615.1,XM_010977467.1,XM_538749.5,XM_005683953.3,XM_008053452.1,XM_013153295.1,xm_014781900.1,XM_012075841.1,XM_005382826.2,XM_007968615.1,XM_006863147.1,XM_004677485.1,XM_007619483.2,XM_004455800.2,XM_013023244.1,XM_004711077.1,XM_006886874.1,XM_008141865.1,XM_001495012.5,XM_016189321.1,XM_003995690.3,XM_008575182.1,XM_004048340.1,XM_004864946.2,xm_013359028.1,XM_004656955.1,XM_003407572.2,XM_005581209.2,XM_011733608.1,XM_011993760.1,XM_017659758.1,XM_013119560.1,XM_012769020.1,XM_013351873.1,XM_016223063.1,XM_001372262.4,NM_001081141.1,XM_004747687.2,XM_008850966.1,XM_003260548.1,XM_004581175.1,XM_004645219.1,XM_004392333.2,XM_004271474.1,XM_008255521.2,XM_003785363.2,XM_012120473.2,XM_003820625.3,XM_016961310.1,XM_017949365.1,xm_002820025.3,XM_012638275.1,XM_011366310.1,NM_031802.1,XM_010357632.1,XM_016146294.1,XM_003940112.1,XM_012542879.1,XM_004600251.1,XM_003122032.5,xm_004372231.2,XM_006143690.1,XM_004317831.1
HTR1A,NM_000524.3,NM_001198700.1,XM_002926305.1,XM_012462288.1,XM_600535.5,XM_008992005.2,XM_010974916.1,NM_001012397.1,XM_005694649.3,XM_008059240.1,XM_005000315.2,xm_004422865.2,XM_012086023.1,XM_005392639.1,XM_007973785.1,xm_006875290.1,XM_004678274.2,XM_007621875.1,XM_004484888.1,XM_013025258.1,XM_004703581.1,XM_006899360.1,XM_008161860.1,NM_001081782.2,XM_007537302.1,XM_003981010.2,XM_008588665.1,XM_004058791.1,XM_004862882.2,XM_005319577.1,XM_004671204.1,XM_003408057.2,XM_015451536.1,XM_011772022.1,XM_011968277.1,XM_017642537.1,XM_013125277.1,XM_012784050.1,XM_005366593.1,XM_016198768.1,XM_007486379.2,NM_008308.4,XM_004764560.1,XM_008856278.2,XM_003265980.2,XM_004583735.1,XM_004623053.1,XM_004402229.2,XM_004270739.2,NM_001198935.1,XM_003785861.2,XM_015101213.1,XM_003827421.2,NM_001135622.1,XM_003899719.3,XM_003776605.2,XM_012664543.1,XM_011371097.1,NM_012585.1,XM_010368180.1,XM_016137039.1,XM_003925804.2,XM_003762831.1,XM_004608472.1,XM_005672476.2,xm_004374552.2,xm_006156821.1,xm_004325159.1
