RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
NM_000041,348,apolipoprotein E,"The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/348"">https://www.ncbi.nlm.nih.gov/gene/348</a>"
NM_000484,351,amyloid beta precursor protein,"This gene encodes a cell surface receptor and transmembrane precursor protein that is cleaved by secretases to form a number of peptides. Some of these peptides are secreted and can bind to the acetyltransferase complex APBB1/TIP60 to promote transcriptional activation, while others form the protein basis of the amyloid plaques found in the brains of patients with Alzheimer disease. In addition, two of the peptides are antimicrobial peptides, having been shown to have bacteriocidal and antifungal activities. Mutations in this gene have been implicated in autosomal dominant Alzheimer disease and cerebroarterial amyloidosis (cerebral amyloid angiopathy). Multiple transcript variants encoding several different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/351"">https://www.ncbi.nlm.nih.gov/gene/351</a>"
NM_000385,358,aquaporin 1 (Colton blood group),This gene encodes a small integral membrane protein with six bilayer spanning domains that functions as a water channel protein. This protein permits passive transport of water along an osmotic gradient. This gene is a possible candidate for disorders involving imbalance in ocular fluid movement.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/358"">https://www.ncbi.nlm.nih.gov/gene/358</a>"
NM_015193,23237,activity regulated cytoskeleton associated protein,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/23237"">https://www.ncbi.nlm.nih.gov/gene/23237</a>"
NM_001130016,419,ADP-ribosyltransferase 3,This gene encodes an arginine-specific ADP-ribosyltransferase. The encoded protein catalyzes a reversible reaction which modifies proteins by the addition or removal of ADP-ribose to an arginine residue to regulate the function of the modified protein. An ADP-ribosyltransferase pseudogene is located on chromosome 11. Multiple transcript variants encoding different isoforms have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/419"">https://www.ncbi.nlm.nih.gov/gene/419</a>"
NM_001127505,427,N-acylsphingosine amidohydrolase 1,"This gene encodes a member of the acid ceramidase family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed. Processing of this preproprotein generates alpha and beta subunits that heterodimerize to form the mature lysosomal enzyme, which catalyzes the degradation of ceramide into sphingosine and free fatty acid. This enzyme is overexpressed in multiple human cancers and may play a role in cancer progression. Mutations in this gene are associated with the lysosomal storage disorder, Farber lipogranulomatosis, and a neuromuscular disorder, spinal muscular atrophy with progressive myoclonic epilepsy.","<a href=""https://www.ncbi.nlm.nih.gov/gene/427"">https://www.ncbi.nlm.nih.gov/gene/427</a>"
NM_001256213,478,ATPase Na+/K+ transporting subunit alpha 3,"The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The catalytic subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes an alpha 3 subunit. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/478"">https://www.ncbi.nlm.nih.gov/gene/478</a>"
NM_001686,506,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide","This gene encodes a subunit of mitochondrial ATP synthase. Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. ATP synthase is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, comprising the proton channel. The catalytic portion of mitochondrial ATP synthase consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled with a stoichiometry of 3 alpha, 3 beta, and a single representative of the other 3. The proton channel consists of three main subunits (a, b, c). This gene encodes the beta subunit of the catalytic core.","<a href=""https://www.ncbi.nlm.nih.gov/gene/506"">https://www.ncbi.nlm.nih.gov/gene/506</a>"
NM_001693,526,ATPase H+ transporting V1 subunit B2,"This gene encodes a component of vacuolar ATPase (V-ATPase), a multisubunit enzyme that mediates acidification of eukaryotic intracellular organelles. V-ATPase dependent organelle acidification is necessary for such intracellular processes as protein sorting, zymogen activation, receptor-mediated endocytosis, and synaptic vesicle proton gradient generation. V-ATPase is composed of a cytosolic V1 domain and a transmembrane V0 domain. The V1 domain consists of three A, three B, and two G subunits, as well as a C, D, E, F, and H subunit. The V1 domain contains the ATP catalytic site. The protein encoded by this gene is one of two V1 domain B subunit isoforms and is the only B isoform highly expressed in osteoclasts.","<a href=""https://www.ncbi.nlm.nih.gov/gene/526"">https://www.ncbi.nlm.nih.gov/gene/526</a>"
NM_001039366,529,ATPase H+ transporting V1 subunit E1,"This gene encodes a component of vacuolar ATPase (V-ATPase), a multisubunit enzyme that mediates acidification of eukaryotic intracellular organelles. V-ATPase dependent organelle acidification is necessary for such intracellular processes as protein sorting, zymogen activation, receptor-mediated endocytosis, and synaptic vesicle proton gradient generation. V-ATPase is composed of a cytosolic V1 domain and a transmembrane V0 domain. The V1 domain consists of three A, three B, and two G subunits, as well as a C, D, E, F, and H subunit. The V1 domain contains the ATP catalytic site. This gene encodes alternate transcriptional splice variants, encoding different V1 domain E subunit isoforms. Pseudogenes for this gene have been found in the genome.","<a href=""https://www.ncbi.nlm.nih.gov/gene/529"">https://www.ncbi.nlm.nih.gov/gene/529</a>"
NM_000332,6310,ataxin 1,"The autosomal dominant cerebellar ataxias (ADCA) are a heterogeneous group of neurodegenerative disorders characterized by progressive degeneration of the cerebellum, brain stem and spinal cord. Clinically, ADCA has been divided into three groups: ADCA types I-III. ADCAI is genetically heterogeneous, with five genetic loci, designated spinocerebellar ataxia (SCA) 1, 2, 3, 4 and 6, being assigned to five different chromosomes. ADCAII, which always presents with retinal degeneration (SCA7), and ADCAIII often referred to as the `pure' cerebellar syndrome (SCA5), are most likely homogeneous disorders. Several SCA genes have been cloned and shown to contain CAG repeats in their coding regions. ADCA is caused by the expansion of the CAG repeats, producing an elongated polyglutamine tract in the corresponding protein. The expanded repeats are variable in size and unstable, usually increasing in size when transmitted to successive generations. The function of the ataxins is not known. This locus has been mapped to chromosome 6, and it has been determined that the diseased allele contains 40-83 CAG repeats, compared to 6-39 in the normal allele, and is associated with spinocerebellar ataxia type 1 (SCA1). At least two transcript variants encoding the same protein have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6310"">https://www.ncbi.nlm.nih.gov/gene/6310</a>"
NM_001191,598,BCL2 like 1,"The protein encoded by this gene belongs to the BCL-2 protein family. BCL-2 family members form hetero- or homodimers and act as anti- or pro-apoptotic regulators that are involved in a wide variety of cellular activities. The proteins encoded by this gene are located at the outer mitochondrial membrane, and have been shown to regulate outer mitochondrial membrane channel (VDAC) opening. VDAC regulates mitochondrial membrane potential, and thus controls the production of reactive oxygen species and release of cytochrome C by mitochondria, both of which are the potent inducers of cell apoptosis. Alternative splicing results in multiple transcript variants encoding two different isoforms. The longer isoform acts as an apoptotic inhibitor and the shorter isoform acts as an apoptotic activator.","<a href=""https://www.ncbi.nlm.nih.gov/gene/598"">https://www.ncbi.nlm.nih.gov/gene/598</a>"
NM_001143805,627,brain derived neurotrophic factor,"This gene encodes a member of the nerve growth factor family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature protein. Binding of this protein to its cognate receptor promotes neuronal survival in the adult brain. Expression of this gene is reduced in Alzheimer's, Parkinson's, and Huntington's disease patients. This gene may play a role in the regulation of the stress response and in the biology of mood disorders.","<a href=""https://www.ncbi.nlm.nih.gov/gene/627"">https://www.ncbi.nlm.nih.gov/gene/627</a>"
NM_001114094,29760,B-cell linker,"This gene encodes a cytoplasmic linker or adaptor protein that plays a critical role in B cell development. This protein bridges B cell receptor-associated kinase activation with downstream signaling pathways, thereby affecting various biological functions. The phosphorylation of five tyrosine residues is necessary for this protein to nucleate distinct signaling effectors following B cell receptor activation. Mutations in this gene cause hypoglobulinemia and absent B cells, a disease in which the pro- to pre-B-cell transition is developmentally blocked. Deficiency in this protein has also been shown in some cases of pre-B acute lymphoblastic leukemia. Alternatively spliced transcript variants have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/29760"">https://www.ncbi.nlm.nih.gov/gene/29760</a>"
NM_052876,112939,nucleus accumbens associated 1,"This gene encodes a member of the BTB/POZ protein family. BTB/POZ proteins are involved in several cellular processes including proliferation, apoptosis and transcription regulation. The encoded protein is a transcriptional repressor that plays a role in stem cell self-renewal and pluripotency maintenance. The encoded protein also suppresses transcription of the candidate tumor suppressor Gadd45GIP1, and expression of this gene may play a role in the progression of multiple types of cancer. A pseudogene of this gene is located on the short arm of chromosome 9.","<a href=""https://www.ncbi.nlm.nih.gov/gene/112939"">https://www.ncbi.nlm.nih.gov/gene/112939</a>"
NM_001130914,10950,BTG anti-proliferation factor 3,The protein encoded by this gene is a member of the BTG/Tob family. This family has structurally related proteins that appear to have antiproliferative properties. This encoded protein might play a role in neurogenesis in the central nervous system. Two transcript variants encoding different isoforms have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/10950"">https://www.ncbi.nlm.nih.gov/gene/10950</a>"
NM_001083913,54838,WW domain binding protein 1 like,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/54838"">https://www.ncbi.nlm.nih.gov/gene/54838</a>"
NM_000716,725,complement component 4 binding protein beta,"This gene encodes a member of a superfamily of proteins composed predominantly of tandemly arrayed short consensus repeats of approximately 60 amino acids. A single, unique beta-chain encoded by this gene assembles with seven identical alpha-chains into the predominant isoform of C4b-binding protein, a multimeric protein that controls activation of the complement cascade through the classical pathway. C4b-binding protein has a regulatory role in the coagulation system also, mediated through the beta-chain binding of protein S, a vitamin K-dependent protein that serves as a cofactor of activated protein C. The genes encoding both alpha and beta chains are located adjacent to each other on human chromosome 1 in the regulator of complement activation gene cluster. Alternative splicing gives rise to multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/725"">https://www.ncbi.nlm.nih.gov/gene/725</a>"
NM_000067,760,carbonic anhydrase 2,"The protein encoded by this gene is one of several isozymes of carbonic anhydrase, which catalyzes reversible hydration of carbon dioxide. Defects in this enzyme are associated with osteopetrosis and renal tubular acidosis. Two transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/760"">https://www.ncbi.nlm.nih.gov/gene/760</a>"
NM_000720,776,calcium voltage-gated channel subunit alpha1 D,"Voltage-dependent calcium channels mediate the entry of calcium ions into excitable cells, and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, and gene expression. Calcium channels are multisubunit complexes composed of alpha-1, beta, alpha-2/delta, and gamma subunits. The channel activity is directed by the pore-forming alpha-1 subunit, whereas the others act as auxiliary subunits regulating this activity. The distinctive properties of the calcium channel types are related primarily to the expression of a variety of alpha-1 isoforms, namely alpha-1A, B, C, D, E, and S. This gene encodes the alpha-1D subunit. Several transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/776"">https://www.ncbi.nlm.nih.gov/gene/776</a>"
NM_000727,786,calcium voltage-gated channel auxiliary subunit gamma 1,"Voltage-dependent calcium channels are composed of five subunits. The protein encoded by this gene represents one of these subunits, gamma, and is one of two known gamma subunit proteins. This particular gamma subunit is part of skeletal muscle 1,4-dihydropyridine-sensitive calcium channels and is an integral membrane protein that plays a role in excitation-contraction coupling. This gene is part of a functionally diverse eight-member protein subfamily of the PMP-22/EMP/MP20 family and is located in a cluster with two family members that function as transmembrane AMPA receptor regulatory proteins (TARPs).","<a href=""https://www.ncbi.nlm.nih.gov/gene/786"">https://www.ncbi.nlm.nih.gov/gene/786</a>"
NM_001740,794,calbindin 2,"This gene encodes an intracellular calcium-binding protein belonging to the troponin C superfamily. Members of this protein family have six EF-hand domains which bind calcium. This protein plays a role in diverse cellular functions, including message targeting and intracellular calcium buffering. It also functions as a modulator of neuronal excitability, and is a diagnostic marker for some human diseases, including Hirschsprung disease and some cancers. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/794"">https://www.ncbi.nlm.nih.gov/gene/794</a>"
NM_001033952,796,calcitonin related polypeptide alpha,"This gene encodes the peptide hormones calcitonin, calcitonin gene-related peptide and katacalcin by tissue-specific alternative RNA splicing of the gene transcripts and cleavage of inactive precursor proteins. Calcitonin is involved in calcium regulation and acts to regulate phosphorus metabolism. Calcitonin gene-related peptide functions as a vasodilator and as an antimicrobial peptide while katacalcin is a calcium-lowering peptide. Multiple transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/796"">https://www.ncbi.nlm.nih.gov/gene/796</a>"
NM_001305624,805,calmodulin 2,"This gene is a member of the calmodulin gene family. There are three distinct calmodulin genes dispersed throughout the genome that encode the identical protein, but differ at the nucleotide level. Calmodulin is a calcium binding protein that plays a role in signaling pathways, cell cycle progression and proliferation. Several infants with severe forms of long-QT syndrome (LQTS) who displayed life-threatening ventricular arrhythmias together with delayed neurodevelopment and epilepsy were found to have mutations in either this gene or another member of the calmodulin gene family (PMID:23388215). Mutations in this gene have also been identified in patients with less severe forms of LQTS (PMID:24917665), while mutations in another calmodulin gene family member have been associated with catecholaminergic polymorphic ventricular tachycardia (CPVT)(PMID:23040497), a rare disorder thought to be the cause of a significant fraction of sudden cardiac deaths in young individuals. Pseudogenes of this gene are found on chromosomes 10, 13, and 17. Alternative splicing results in multiple transcript variants encoding different isoforms.","<a href=""https://www.ncbi.nlm.nih.gov/gene/805"">https://www.ncbi.nlm.nih.gov/gene/805</a>"
NM_015981,815,calcium/calmodulin dependent protein kinase II alpha,"The product of this gene belongs to the serine/threonine protein kinases family, and to the Ca(2+)/calmodulin-dependent protein kinases subfamily. Calcium signaling is crucial for several aspects of plasticity at glutamatergic synapses. This calcium calmodulin-dependent protein kinase is composed of four different chains: alpha, beta, gamma, and delta. The alpha chain encoded by this gene is required for hippocampal long-term potentiation (LTP) and spatial learning. In addition to its calcium-calmodulin (CaM)-dependent activity, this protein can undergo autophosphorylation, resulting in CaM-independent activity. Two transcript variants encoding distinct isoforms have been identified for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/815"">https://www.ncbi.nlm.nih.gov/gene/815</a>"
NM_006366,10486,"CAP, adenylate cyclase-associated protein, 2 (yeast)","This gene was identified by its similarity to the gene for human adenylyl cyclase-associated protein. The function of the protein encoded by this gene is unknown. However, the protein appears to be able to interact with adenylyl cyclase-associated protein and actin.","<a href=""https://www.ncbi.nlm.nih.gov/gene/10486"">https://www.ncbi.nlm.nih.gov/gene/10486</a>"
NM_001003962,826,calpain small subunit 1,"This gene is a member of the calpain small subunit family. Calpains are calcium-dependent cysteine proteinases that are widely distributed in mammalian cells. Calpains operate as heterodimers, comprising a specific large catalytic subunit (calpain 1 subunit in Calpain I, and calpain 2 subunit in Calpain II), and a common small regulatory subunit encoded by this gene. This encoded protein is essential for the stability and function of both calpain heterodimers, whose proteolytic activities influence various cellular functions including apoptosis, proliferation, migration, adhesion, and autophagy. Calpains have been implicated in neurodegenerative processes, such as myotonic dystrophy. A pseudogene of this gene has been defined on chromosome 1. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/826"">https://www.ncbi.nlm.nih.gov/gene/826</a>"
NM_001206540,832,capping actin protein of muscle Z-line beta subunit,"This gene encodes the beta subunit of the barbed-end actin binding protein, which belongs to the F-actin capping protein family. The capping protein is a heterodimeric actin capping protein that blocks actin filament assembly and disassembly at the fast growing (barbed) filament ends and functions in regulating actin filament dynamics as well as in stabilizing actin filament lengths in muscle and nonmuscle cells. A pseudogene of this gene is located on the long arm of chromosome 2. Multiple alternatively spliced transcript variants encoding different isoforms have been found.","<a href=""https://www.ncbi.nlm.nih.gov/gene/832"">https://www.ncbi.nlm.nih.gov/gene/832</a>"
NM_004291,9607,CART prepropeptide,"This gene encodes a preproprotein that is proteolytically processed to generate multiple biologically active peptides. These peptides play a role in appetite, energy balance, maintenance of body weight, reward and addiction, and the stress response. Expression of a similar gene transcript in rodents is upregulated following administration of cocaine and amphetamine. Mutations in this gene are associated with susceptibility to obesity in humans.","<a href=""https://www.ncbi.nlm.nih.gov/gene/9607"">https://www.ncbi.nlm.nih.gov/gene/9607</a>"
NM_004346,836,caspase 3,"This gene encodes a protein which is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes which undergo proteolytic processing at conserved aspartic residues to produce two subunits, large and small, that dimerize to form the active enzyme. This protein cleaves and activates caspases 6, 7 and 9, and the protein itself is processed by caspases 8, 9 and 10. It is the predominant caspase involved in the cleavage of amyloid-beta 4A precursor protein, which is associated with neuronal death in Alzheimer's disease. Alternative splicing of this gene results in two transcript variants that encode the same protein.","<a href=""https://www.ncbi.nlm.nih.gov/gene/836"">https://www.ncbi.nlm.nih.gov/gene/836</a>"
NM_000729,885,cholecystokinin,"This gene encodes a member of the gastrin/cholecystokinin family of proteins. The encoded preproprotein is proteolytically processed to generate multiple protein products, including the peptide hormones cholecystokinin-8, -12, -33, and others. The encoded peptides have been shown to regulate gastric acid secretion and food intake. A sulfated form of cholecystokinin-8 may modulate neuronal activity in the brain. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/885"">https://www.ncbi.nlm.nih.gov/gene/885</a>"
NM_053056,595,cyclin D1,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance throughout the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK4 or CDK6, whose activity is required for cell cycle G1/S transition. This protein has been shown to interact with tumor suppressor protein Rb and the expression of this gene is regulated positively by Rb. Mutations, amplification and overexpression of this gene, which alters cell cycle progression, are observed frequently in a variety of tumors and may contribute to tumorigenesis.","<a href=""https://www.ncbi.nlm.nih.gov/gene/595"">https://www.ncbi.nlm.nih.gov/gene/595</a>"
NM_001295,1230,C-C motif chemokine receptor 1,"This gene encodes a member of the beta chemokine receptor family, which is predicted to be a seven transmembrane protein similar to G protein-coupled receptors. The ligands of this receptor include macrophage inflammatory protein 1 alpha (MIP-1 alpha), regulated on activation normal T expressed and secreted protein (RANTES), monocyte chemoattractant protein 3 (MCP-3), and myeloid progenitor inhibitory factor-1 (MPIF-1). Chemokines and their receptors mediated signal transduction are critical for the recruitment of effector immune cells to the site of inflammation. Knockout studies of the mouse homolog suggested the roles of this gene in host protection from inflammatory response, and susceptibility to virus and parasite. This gene and other chemokine receptor genes, including CCR2, CCRL2, CCR3, CCR5 and CCXCR1, are found to form a gene cluster on chromosome 3p.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1230"">https://www.ncbi.nlm.nih.gov/gene/1230</a>"
NM_000579,1234,C-C motif chemokine receptor 5 (gene/pseudogene),"This gene encodes a member of the beta chemokine receptor family, which is predicted to be a seven transmembrane protein similar to G protein-coupled receptors. This protein is expressed by T cells and macrophages, and is known to be an important co-receptor for macrophage-tropic virus, including HIV, to enter host cells. Defective alleles of this gene have been associated with the HIV infection resistance. The ligands of this receptor include monocyte chemoattractant protein 2 (MCP-2), macrophage inflammatory protein 1 alpha (MIP-1 alpha), macrophage inflammatory protein 1 beta (MIP-1 beta) and regulated on activation normal T expressed and secreted protein (RANTES). Expression of this gene was also detected in a promyeloblastic cell line, suggesting that this protein may play a role in granulocyte lineage proliferation and differentiation. This gene is located at the chemokine receptor gene cluster region. An allelic polymorphism in this gene results in both functional and non-functional alleles; the reference genome represents the functional allele. Two transcript variants encoding the same protein have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1234"">https://www.ncbi.nlm.nih.gov/gene/1234</a>"
NM_001164410,1020,cyclin dependent kinase 5,"This gene encodes a proline-directed serine/threonine kinase that is a member of the cyclin-dependent kinase family of proteins. Unlike other members of the family, the protein encoded by this gene does not directly control cell cycle regulation. Instead the protein, which is predominantly expressed at high levels in mammalian postmitotic central nervous system neurons, functions in diverse processes such as synaptic plasticity and neuronal migration through phosphorylation of proteins required for cytoskeletal organization, endocytosis and exocytosis, and apoptosis. In humans, an allelic variant of the gene that results in undetectable levels of the protein has been associated with lethal autosomal recessive lissencephaly-7. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1020"">https://www.ncbi.nlm.nih.gov/gene/1020</a>"
